"Farm product prices, crops and livestock 1"
"Frequency: Monthly"
"Table: 32-10-0077-01 (formerly CANSIM 002-0043)"
"Release date: 2026-03-10"
"Geography: Province or territory"
""
""

"Geography","Farm products 2","January 2000","February 2000","March 2000","April 2000","May 2000","June 2000","July 2000","August 2000","September 2000","October 2000","November 2000","December 2000","January 2001","February 2001","March 2001","April 2001","May 2001","June 2001","July 2001","August 2001","September 2001","October 2001","November 2001","December 2001","January 2002","February 2002","March 2002","April 2002","May 2002","June 2002","July 2002","August 2002","September 2002","October 2002","November 2002","December 2002","January 2003","February 2003","March 2003","April 2003","May 2003","June 2003","July 2003","August 2003","September 2003","October 2003","November 2003","December 2003","January 2004","February 2004","March 2004","April 2004","May 2004","June 2004","July 2004","August 2004","September 2004","October 2004","November 2004","December 2004","January 2005","February 2005","March 2005","April 2005","May 2005","June 2005","July 2005","August 2005","September 2005","October 2005","November 2005","December 2005","January 2006","February 2006","March 2006","April 2006","May 2006","June 2006","July 2006","August 2006","September 2006","October 2006","November 2006","December 2006","January 2007","February 2007","March 2007","April 2007","May 2007","June 2007","July 2007","August 2007","September 2007","October 2007","November 2007","December 2007","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
,"Canola (including rapeseed)","225.66","223.56","228.97","237.36","227.38","217.91","204.17","213.13","216.77","212.81","223.69","224.26","227.02","230.12","248.43","255.64","265.77","278.07","317.14","307.54","289.52","292.16","310.34","293.30","285.14","317.32","306.32","297.04","308.81","327.37","352.71","372.87","384.74","389.84","405.04","405.65","402.67","400.66","378.83","360.17","349.63","331.28","321.11","315.85","317.71","334.73","341.09","344.84","349.10","355.31","368.96","377.98","383.76","389.35","380.38","364.33","338.16","311.75","288.52","279.05","261.48","246.94","265.90","265.50","271.71","281.44","272.08","258.99","248.29","254.00","256.01","264.46","268.12","244.84","268.51","261.37","275.08","271.62","279.90","278.75","277.24","288.93","308.52","325.86","340.82","347.43","348.50","345.05","357.78","363.77","369.48","371.24","379.97","385.63","399.63","415.79","446.98","504.32","543.13","535.13","551.80","569.83","581.42","513.03","472.82","452.92","459.71","422.91","426.24","420.91","421.77","427.65","442.18","447.20","444.74","453.10","408.67","390.83","389.96","392.71","390.79","376.72","380.44","373.71","380.51","385.18","408.42","425.17","426.02","439.19","453.10","480.47","510.31","534.46","540.10","555.86","554.50","569.97","565.04","532.13","515.25","508.98","512.54","509.93","519.24","536.31","561.59","592.84","598.38","616.07","612.49","572.72","567.12","571.69","569.66","585.74","600.39","621.75","630.94","638.69","644.78","635.35","616.52","551.48","500.95","487.44","489.21","474.73","459.56","455.00","446.39","453.09","465.52","459.87","472.08","469.19","434.94","423.58","434.90","437.79","446.91","453.32","454.13","462.87","467.14","478.61","493.77","471.40","459.88","465.95","467.77","466.42","473.55","472.96","465.77","480.25","492.31","493.81","490.45","481.95","459.36","467.63","483.82","497.37","498.58","509.40","506.84","513.69","522.35","517.93","522.42","510.40","480.62","488.08","495.61","499.62","497.60","505.69","508.17","517.98","527.46","526.19","521.03","497.72","473.98","477.19","476.67","481.08","476.08","477.77","473.02","461.08","459.03","451.17","447.84","442.97","428.87","443.17","442.02","444.61","452.57","461.02","452.90","451.76","450.38","450.59","453.52","457.27","465.70","474.93","491.43","515.94","550.66","577.25","603.33","638.97","653.98","708.91","746.45","685.47","648.87","723.50","799.52","811.08","884.07","946.01","1,010.40","1,075.91","1,121.46","1,105.93","1,019.53","924.66","837.07","840.52","869.04","870.80","863.35","846.22","834.16","802.34","787.52","749.89","764.45","778.56","748.45","732.39","719.16","715.82","700.28","648.64","622.17","638.80","641.06","630.97","623.51","615.52","603.82","608.72","618.28","614.51","614.98","621.92","621.92","638.76","649.07","667.87","667.73","653.32","622.72","612.51","614.46","622.01","619.09"
,,"Dollars per hundredweight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cattle for slaughter 5","69.04","69.04","73.00","81.68","84.97","81.56","81.84","79.03","78.66","76.62","76.69","77.31","78.17","83.67","86.14","89.94","88.62","86.95","88.10","84.46","81.73","72.51","68.88","70.71","72.59","78.04","83.06","77.18","77.56","73.94","68.75","70.64","70.19","66.98","65.25","69.99","74.30","76.02","74.34","76.40","76.59","46.62","26.83","28.81","44.14","46.04","68.10","46.62","68.49","59.16","71.40","72.78","67.32","60.27","60.11","56.66","64.67","65.13","64.52","66.71","68.75","69.77","66.12","64.25","66.76","67.81","70.44","54.40","48.24","46.12","47.52","48.10","49.86","50.90","52.62","52.51","54.99","56.88","59.32","59.51","54.62","53.93","44.99","40.95","43.92","44.59","51.68","57.18","58.36","55.31","57.06","54.72","51.66","46.58","40.64","41.59","41.97","46.29","51.28","55.68","55.11","50.65","61.36","60.02","57.70","52.14","43.90","43.95","45.92","51.67","60.54","56.03","64.99","61.95","63.46","59.51","57.20","54.78","53.89","49.66","51.83","57.75","60.70","64.98","70.32","66.57","67.88","70.23","69.15","68.10","67.16","64.57","60.83","67.86","76.03","75.19","80.13","78.24","78.79","79.93","78.25","79.50","80.64","78.55","88.37","90.73","90.75","88.10","87.96","91.23","83.50","92.03","88.49","80.71","84.56","82.27","82.97","85.09","87.74","85.08","82.27","86.84","86.43","94.20","93.40","88.09","90.54","87.13","97.44","102.03","106.97","108.19","112.21","121.41","126.48","139.28","137.07","136.71","138.94","142.02","144.60","154.40","155.56","158.48","158.47","161.62","155.16","160.69","156.84","145.15","142.46","134.31","143.57","139.69","135.39","129.71","126.61","125.34","117.94","124.82","116.65","113.01","117.05","121.15","120.90","118.41","130.02","139.69","144.13","133.10","122.76","121.36","114.74","116.46","118.13","123.59","116.48","120.19","122.29","120.43","121.68","116.14","124.95","116.81","114.85","116.48","113.35","117.91","117.53","110.57","115.72","121.95","119.90","115.70","122.18","117.65","112.65","113.60","109.87","114.21","117.42","111.79","111.63","104.84","107.58","113.25","115.70","117.44","111.44","110.50","108.62","120.09","112.94","118.73","117.09","128.19","135.71","132.54","126.47","126.31","132.64","127.68","130.28","135.13","123.62","127.21","139.51","139.20","145.37","149.86","150.10","152.55","154.69","150.77","152.17","149.49","149.89","149.87","165.42","184.49","195.05","201.79","203.68","208.96","205.54","202.17","201.07","183.52","183.33","184.16","199.06","218.19","227.60","231.81","237.10","231.34","225.70","219.13","220.32","224.87","235.17","238.97","243.15","257.37","271.53","272.29","278.79","282.88","294.83","278.08","272.34","271.14","276.41"
,"Hogs 6","70.70","81.99","81.24","92.21","92.95","93.25","92.10","82.64","79.62","78.69","71.25","76.97","70.17","75.18","89.18","91.79","96.14","98.85","98.46","97.22","88.79","80.47","69.76","67.75","76.86","80.07","75.90","67.96","68.79","71.57","77.62","70.36","54.85","64.15","60.02","63.76","66.28","70.17","68.41","69.00","76.98","80.62","78.80","75.17","71.86","67.19","62.02","61.78","61.76","66.57","78.38","79.48","87.90","87.54","92.52","90.00","84.80","80.43","79.24","78.78","78.61","78.43","77.07","77.25","85.32","76.84","75.30","76.30","72.85","69.58","64.32","63.46","59.76","60.89","62.57","59.20","67.61","74.50","72.18","73.36","68.42","67.38","64.16","63.61","64.27","70.24","65.09","67.81","74.16","72.66","67.63","67.63","59.75","53.30","44.41","48.34","45.63","52.76","48.12","57.74","70.80","67.31","69.75","79.08","67.43","69.03","57.92","59.34","64.38","65.56","66.83","66.33","64.43","62.78","62.20","51.25","51.32","50.05","52.49","58.89","62.20","62.40","64.67","70.07","77.34","72.46","72.68","75.54","74.33","63.90","57.63","62.21","65.43","71.63","73.00","77.64","79.57","81.07","81.59","86.19","77.89","81.91","76.78","75.69","75.62","77.94","77.75","74.79","75.75","85.18","87.46","79.76","63.67","72.09","70.44","71.94","74.18","75.79","69.58","72.07","79.45","87.87","89.77","87.80","82.44","81.33","76.08","74.22","75.81","82.33","103.51","111.34","103.64","107.28","116.31","106.06","97.83","98.38","86.28","83.88","79.66","75.07","74.51","73.33","86.57","87.29","87.00","87.47","81.93","81.87","68.53","67.55","71.73","80.63","78.13","78.38","87.67","91.98","89.45","78.98","70.98","65.23","61.23","67.91","75.31","84.51","84.21","76.33","86.46","97.40","97.81","88.96","70.87","72.95","75.87","73.32","79.09","81.10","75.20","68.57","78.14","92.97","90.62","66.81","67.07","78.23","71.38","66.63","70.41","70.35","76.51","94.85","98.15","94.74","90.92","91.39","77.52","79.83","78.14","78.18","75.35","73.53","79.27","72.80","90.45","73.15","70.95","75.25","87.07","93.60","84.02","77.70","78.89","86.88","97.78","108.06","110.14","116.02","114.70","113.93","105.79","97.58","88.95","86.51","89.78","103.23","111.86","112.01","114.83","120.06","125.53","129.54","115.20","111.62","105.65","101.20","94.79","94.97","100.13","93.09","97.45","105.63","118.81","119.67","106.90","101.80","95.86","88.90","90.23","96.23","102.12","110.21","112.12","113.20","112.56","111.38","105.12","106.83","110.20","107.42","104.73","111.07","113.36","110.33","114.03","124.96","128.45","129.15","127.00","120.31","110.23","105.39","102.99"
"Saskatchewan",,"Dollars per metric tonne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-board wheat (except durum wheat) (Terminated)","85.56","84.45","89.77","87.27","91.19","94.26","89.59","88.30","85.91","87.37","95.77","100.74","99.06","97.27","99.31","97.08","99.57","103.59","112.47","115.20","119.09","123.80","125.77","119.05","141.12","138.04","142.48","151.13","154.89","154.01","160.74","150.71","168.23","153.73","156.93","161.64","161.66","161.30","156.07","142.90","138.47","130.74","116.14","118.45","118.15","117.13","119.14","122.34","123.73","124.81","128.81","134.63","142.29","149.55","142.70","125.61","83.15","75.31","70.41","69.59","71.69","70.20","70.53","72.14","74.06","75.40","75.64","72.62","71.71","76.15","80.97","86.52","90.50","84.72","87.34","90.69","93.96","97.17","94.25","96.01","95.35","114.67","129.19","134.81","140.05","143.43","145.21","145.14","145.95","149.73","147.87","146.55","165.64","172.84","166.89","182.14","182.94","213.94","233.78","254.12","275.22","273.77","284.80","249.65","184.37","185.87","179.70","181.97","193.00","194.85","185.37","181.86","180.49","175.59","184.33","168.73","140.41","133.12","132.82","135.46","133.36","128.99","128.70","124.57","122.24","130.99","129.87","142.50","146.37","148.26","154.44","164.54","174.93","184.70","191.00","196.85","198.66","205.11","202.18","192.52","199.37","204.76","202.26","202.04","202.83","205.35","211.51","215.60","224.95","227.03","228.86","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Oats","80.77","82.30","92.78","85.19","89.62","87.06","81.80","83.62","86.07","89.27","87.80","91.09","90.43","90.96","93.62","93.40","105.37","95.37","117.82","115.05","126.48","154.44","173.06","187.50","205.89","215.00","221.83","225.32","201.43","209.34","213.57","197.86","171.95","188.07","184.75","187.93","190.56","196.78","184.46","163.78","139.50","130.99","119.15","109.79","106.82","104.95","110.54","109.32","111.22","117.86","122.70","125.48","125.31","120.86","111.24","100.52","121.13","116.57","107.84","109.53","115.25","113.77","109.87","105.46","102.15","103.03","108.20","101.35","106.48","111.10","114.89","120.60","124.37","124.51","123.86","119.90","119.71","122.58","124.48","110.97","112.93","124.42","142.54","153.17","161.75","170.28","179.60","183.57","177.96","187.57","177.82","150.94","143.10","144.16","147.42","152.46","159.81","171.84","181.80","198.45","206.88","215.56","211.09","191.50","191.98","189.11","180.55","161.73","165.23","137.60","128.04","121.35","127.42","134.49","130.22","137.54","140.24","143.26","142.30","145.21","142.44","129.75","126.77","103.57","109.65","129.96","138.52","143.53","163.21","171.80","184.36","193.43","210.51","214.11","206.63","207.90","199.06","206.97","199.50","194.21","197.76","198.35","196.76","196.34","195.57","191.14","190.23","189.55","191.63","190.86","199.25","199.28","201.76","207.42","213.43","217.31","225.71","223.32","231.05","238.47","238.52","247.68","235.33","215.65","201.24","198.00","192.14","192.51","187.17","188.22","188.78","185.19","179.15","168.79","165.58","163.51","161.48","166.05","170.81","180.10","181.34","179.78","181.50","179.94","176.67","171.43","175.63","172.83","168.22","168.83","170.82","172.72","174.93","170.33","178.03","167.24","166.85","164.46","164.20","155.17","157.88","161.74","180.18","184.01","186.31","188.99","188.31","189.31","188.86","188.83","183.21","177.20","178.24","176.53","180.84","180.48","181.18","179.78","178.09","187.52","176.70","175.68","173.44","174.52","178.02","182.39","190.63","189.91","200.75","204.31","204.36","208.21","214.73","218.86","221.84","215.59","186.92","189.00","195.66","202.15","206.86","202.01","209.16","213.80","228.83","238.02","243.45","210.90","189.86","191.69","198.30","208.56","222.18","242.41","244.74","247.42","253.19","265.51","264.03","270.46","263.01","296.41","333.60","341.78","412.35","499.13","535.84","569.47","617.36","580.18","534.24","489.41","375.37","374.43","355.50","340.86","334.49","311.14","289.26","276.15","248.55","248.16","259.29","299.75","315.99","328.84","328.77","323.26","330.54","320.12","308.67","310.19","305.20","308.47","305.31","288.80","276.05","281.98","282.14","284.09","286.13","285.22","280.95","275.05","292.70","281.20","284.61","265.37","256.22","252.94","255.83","243.72","244.16"
,"Barley 3 4","78.29","76.48","77.73","78.22","77.14","77.08","76.45","75.28","73.00","80.01","88.29","91.01","88.43","88.23","92.37","94.41","99.14","100.60","113.76","115.46","121.02","124.63","131.60","131.49","134.78","133.16","130.17","127.82","121.74","127.02","137.92","150.66","152.44","155.03","155.61","153.16","142.91","144.16","123.21","132.52","120.66","109.49","100.56","91.57","93.85","93.31","99.96","98.33","99.59","97.43","102.35","115.47","117.61","118.01","107.18","93.80","77.19","75.10","76.50","76.40","75.52","72.27","72.29","73.99","71.35","74.27","73.45","68.32","66.21","69.56","70.79","74.05","77.61","73.25","73.53","74.61","74.47","73.38","72.23","72.60","81.22","98.99","110.94","115.41","121.91","128.07","136.06","142.26","141.26","147.19","148.06","145.81","154.81","152.48","156.70","158.11","176.93","170.72","243.04","191.37","203.07","202.13","201.01","178.69","155.56","149.09","150.26","153.14","147.12","134.02","126.82","126.10","124.25","129.47","131.13","122.59","111.88","108.30","112.78","113.90","114.46","111.39","110.06","107.79","107.06","108.63","112.20","117.74","124.04","124.64","140.59","147.16","158.12","158.19","163.30","169.25","170.34","174.01","172.45","163.96","173.35","182.20","189.61","192.26","193.20","188.34","192.18","196.77","205.67","202.97","212.41","220.33","211.43","232.42","244.07","245.77","248.34","251.73","257.56","260.87","253.25","258.65","240.13","211.46","210.60","195.50","200.91","188.06","182.11","184.83","171.99","185.20","190.18","173.83","169.07","161.86","154.09","188.65","194.34","199.62","196.42","205.92","218.59","206.71","188.38","188.72","212.56","205.38","237.52","235.55","234.63","229.83","237.55","226.86","204.18","213.47","204.12","177.60","178.84","169.57","210.78","223.21","216.10","207.89","204.76","207.77","190.76","166.11","145.03","146.01","154.39","159.73","210.39","204.22","199.84","198.43","207.57","203.84","201.73","206.90","204.34","207.25","209.38","211.17","212.20","215.34","220.13","214.91","223.14","224.79","225.22","238.62","243.25","236.84","236.15","215.64","203.65","198.81","195.17","199.49","186.64","197.34","192.11","201.66","207.12","197.52","203.05","206.67","209.47","209.91","210.63","220.53","229.58","237.11","247.06","252.58","258.93","265.68","273.66","246.34","257.04","271.91","285.01","301.68","324.40","345.73","387.62","400.77","414.61","404.69","388.48","338.84","332.45","358.19","375.17","380.81","376.01","380.47","377.99","379.45","375.66","367.90","358.58","329.69","307.67","316.00","305.97","294.76","278.75","263.92","255.44","254.77","258.75","261.87","245.67","227.55","232.84","246.33","249.24","245.43","250.66","249.86","260.49","265.72","273.70","267.55","261.08","244.21","239.06","237.22","227.96","231.54","233.71"
,"Soybeans","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","455.41","450.48","443.43","437.18","..","..","..","..","..","..","434.78","..","378.39","350.20","358.88","363.82","..","375.87","374.99","364.20","354.28","341.22","358.33","372.76","374.56","372.42","374.51","377.80","..","..","..","..","402.71","..","..","..","433.29","419.94","433.81","429.52","..","..","..","..","..","..","..","..","398.24","405.93","402.48","401.72","394.62","389.55","400.64","400.27","423.02","411.49","380.84","390.95","401.06","414.43","414.76","410.82","405.65","387.68","384.11","385.24","361.42","362.16","374.14","373.22","360.04","378.08","376.23","384.55","364.02","372.82","348.67","333.76","360.44","364.78","350.20","347.46","366.10","396.51","408.64","444.14","451.37","483.88","511.52","508.62","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","577.62","543.97","585.53","..","..","..","497.37","..","..","458.64","..","..","..","394.55","417.16","..","401.45","..","..","430.57","..","431.88","382.18","434.15","..","435.29","449.10","..",".."
,"Canola (including rapeseed)","239.61","232.52","239.77","244.23","244.53","234.33","224.62","220.78","228.19","226.80","230.61","237.27","231.72","240.07","253.14","259.05","268.87","271.64","299.73","319.32","298.35","292.03","324.21","311.24","319.99","331.05","322.12","315.70","316.72","326.86","353.90","376.74","385.61","398.77","405.08","393.58","381.88","384.78","371.32","356.69","343.40","336.75","327.79","316.50","318.11","333.39","340.58","346.93","347.24","357.43","372.97","377.42","384.78","382.75","373.83","354.54","331.24","293.78","268.14","265.56","245.29","241.64","258.36","261.45","265.95","275.93","268.85","254.82","240.01","248.72","249.73","246.45","236.58","234.19","244.20","248.05","259.78","265.83","271.70","271.42","265.27","283.22","310.87","330.22","345.18","351.99","352.73","350.06","358.27","364.84","369.39","372.57","383.57","384.15","393.85","408.62","456.21","504.95","538.48","556.38","574.84","594.09","592.23","533.40","477.64","471.91","468.01","447.13","434.24","442.41","431.50","435.43","446.04","451.89","446.08","450.35","407.86","394.70","388.49","391.69","387.93","377.32","382.80","368.60","393.92","396.79","412.40","438.62","443.73","450.09","463.64","494.92","515.69","483.28","540.73","554.83","556.42","577.28","571.45","548.73","530.86","521.01","522.83","518.33","520.28","536.44","559.46","570.34","585.80","594.28","602.58","589.14","570.75","569.31","576.80","588.41","597.17","631.48","639.13","640.27","651.50","646.98","616.65","562.42","505.09","494.60","495.27","486.44","481.87","451.24","438.38","448.92","456.75","457.89","458.30","456.52","431.74","433.12","438.19","442.28","450.23","452.19","453.67","458.89","460.22","470.79","485.48","487.38","462.20","442.64","468.65","466.85","475.27","474.22","468.38","473.64","489.61","493.52","485.14","467.11","454.77","462.81","477.06","480.59","488.45","494.45","501.47","506.26","519.86","518.20","525.70","512.37","478.29","482.64","491.45","494.23","498.80","505.44","503.52","507.93","526.42","523.05","526.38","506.94","479.04","480.26","476.70","475.42","477.72","477.74","473.64","460.44","456.05","457.37","447.90","439.34","433.66","432.26","434.73","437.10","447.38","449.01","447.55","450.59","451.28","453.08","462.88","463.94","463.24","474.80","495.64","507.33","541.01","569.29","600.92","666.20","688.06","727.01","780.43","754.65","661.11","687.04","753.44","777.73","868.18","929.81","1,005.78","1,048.73","1,080.19","1,101.49","1,011.40","923.50","851.35","868.73","885.65","882.18","890.56","858.37","849.77","824.19","801.49","751.87","781.78","794.97","753.36","762.34","728.68","722.40","689.42","633.44","623.67","657.13","658.83","651.21","646.67","617.87","605.84","605.10","625.03","615.77","620.96","629.16","627.81","633.36","655.12","667.84","679.45","669.44","636.79","616.95","622.17","620.35","619.13"
